id,Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
6,Criminal Minds,Episode 47,69.83,True Crime,35.82,Sunday,Night,39.02,0,Neutral,64.75024
16,Study Sessions,Episode 82,78.47,Education,48.84,Sunday,Afternoon,,2,Neutral,42.89441
18,Digital Digest,Episode 72,7.34,Technology,20.81,Sunday,Night,83.06,3,Positive,0.75783
42,Innovators,Episode 17,32.29,Technology,89.36,Sunday,Evening,42.61,3,Neutral,26.57501
46,Mind & Body,Episode 2,92.81,Health,28.52,Sunday,Evening,24.65,0,Positive,53.58589
48,Sports Weekly,Episode 56,31.69,Sports,24.8,Sunday,Evening,99.63,1,Positive,24.12
52,Mind & Body,Episode 74,93.16,Health,81.22,Sunday,Night,,0,Negative,70.36414
61,Healthy Living,Episode 15,110.58,Health,28.32,Sunday,Morning,85.37,1,Negative,76.59
62,Home & Living,Episode 43,44.52,Lifestyle,55.89,Sunday,Afternoon,2.23,2,Neutral,16.79904
70,Athlete's Arena,Episode 64,72.63,Sports,57.13,Sunday,Evening,,3,Positive,54.46032
79,Home & Living,Episode 79,,Lifestyle,69.57,Sunday,Afternoon,65.57,1,Positive,21.67971
89,Mind & Body,Episode 10,,Health,78.73,Sunday,Evening,67.49,1,Negative,30.48609
100,Lifestyle Lounge,Episode 9,108.43,Lifestyle,70.93,Sunday,Afternoon,71.29,3,Negative,91.00125
110,Life Lessons,Episode 6,21.48,Lifestyle,53.04,Sunday,Night,11.78,0,Negative,12.46019
119,Current Affairs,Episode 58,24.22,News,55.62,Sunday,Night,31.9,1,Negative,23.18091
125,Educational Nuggets,Episode 58,85.17,Education,96.65,Sunday,Night,41.48,3,Negative,62.57
129,Educational Nuggets,Episode 47,60.24,Education,36.01,Sunday,Morning,76.03,2,Positive,42.74512
135,Innovators,Episode 62,90.34,Technology,73.39,Sunday,Afternoon,,0,Negative,61.97271
139,Healthy Living,Episode 33,66.87,Health,33.88,Sunday,Morning,7.38,0,Positive,48.82856
145,Style Guide,Episode 35,70.45,Lifestyle,65.36,Sunday,Morning,68.45,2,Positive,54.14297
149,Detective Diaries,Episode 89,40.91,True Crime,95.8,Sunday,Evening,50.6,3,Neutral,27.5976
153,Business Insights,Episode 48,80.02,Business,26.8,Sunday,Afternoon,20.68,0,Negative,73.22218
168,Market Masters,Episode 11,102.41,Business,91.78,Sunday,Night,46.3,2,Neutral,82.91328
175,Business Insights,Episode 1,116.3,Business,94.82,Sunday,Morning,27.54,1,Positive,87.51182
181,Game Day,Episode 15,45.95,Sports,89.15,Sunday,Evening,,2,Neutral,39.98581
193,Finance Focus,Episode 36,12.7,Business,33.56,Sunday,Evening,8.85,1,Neutral,8.20391
201,Daily Digest,Episode 94,,News,99.45,Sunday,Afternoon,80.28,3,Negative,58.41724
204,Fitness First,Episode 20,60.47,Lifestyle,39.67,Sunday,Morning,62.35,0,Neutral,26.60556
207,Business Insights,Episode 95,,Business,48.74,Sunday,Morning,,1,Negative,12.61
